"","EVTYPE","n"
"202","HYPOTHERMIA EXPOSURE",6
"203","RECORD SNOWFALL",6
"204","SMALL STREAM URBAN FLOOD",6
"205","SNOW SHOWERS",6
"206","SNOW SLEET FREEZING RAIN",6
"207","THUNDERSTORMS WIND",6
"208","TSTM WINDS",6
"209","URBAN AND SMALL STREAM FLOODIN",6
"210","WET MICROBURST",6
"211","COASTAL FLOODING EROSION",5
"212","DRY MICROBURST WINDS",5
"213","EXCESSIVE RAIN",5
"214","FLASH FLOOD FROM ICE JAMS",5
"215","FLOOD FLASH",5
"216","GUSTY THUNDERSTORM WINDS",5
"217","HEAVY SNOW ICE",5
"218","HIGH SWELLS",5
"219","HIGH WINDS COLD",5
"220","ICE JAM FLOODING",5
"221","ICE SNOW",5
"222","MICROBURST WINDS",5
"223","RAIN SNOW",5
"224","RECORD COOL",5
"225","RECORD TEMPERATURES",5
"226","ROTATING WALL CLOUD",5
"227","SEVERE THUNDERSTORM WINDS",5
"228","SNOW AND SLEET",5
"229","SNOWMELT FLOODING",5
"230","TSTM WIND 52",5
"231","WALL CLOUD",5
"232"," TSTM WIND",4
"233","ABNORMAL WARMTH",4
"234","ACCUMULATED SNOWFALL",4
"235","BEACH EROSION",4
"236","BLOWING DUST",4
"237","COLD AIR FUNNEL",4
"238","COLD TEMPERATURES",4
"239","COLD WEATHER",4
"240","DAM BREAK",4
"241","DENSE SMOKE",4
"242","DRY SPELL",4
"243","DRY WEATHER",4
"244","EXCESSIVE RAINFALL",4
"245","EXTREME RECORD COLD",4
"246","FREEZING RAIN SNOW",4
"247","HAIL 1.75",4
"248","HEAVY RAIN AND WIND",4
"249","HEAVY RAIN WIND",4
"250","HIGH SURF ADVISORY",4
"251","ICE JAM",4
"252","MINOR FLOODING",4
"253","MONTHLY TEMPERATURE",4
"254","PROLONG WARMTH",4
"255","PROLONGED RAIN",4
"256","RECORD LOW",4
"257","ROUGH SURF",4
"258","SAHARAN DUST",4
"259","SMALL STREAM FLOODING",4
"260","THUNDERSTORM WIND  TREES",4
"261","THUNDERSTORM WIND 60 MPH",4
"262","THUNDERSTORM WIND G50",4
"263","THUNDERSTORMS",4
"264","TORNADO F1",4
"265","TSUNAMI",4
"266","UNUSUALLY WARM",4
"267","URBAN SMALL STREAM FLOODING",4
"268","WET MONTH",4
"269","WET YEAR",4
"270","WILD FIRES",4
"271","BITTER WIND CHILL TEMPERATURES",3
"272","BRUSH FIRE",3
"273","COLD WAVE",3
"274","EARLY SNOW",3
"275","FLOODS",3
"276","GUSTY THUNDERSTORM WIND",3
"277","HAIL 275",3
"278","HAIL WIND",3
"279","HAILSTORM",3
"280","HEAVY PRECIPITATION",3
"281","HEAVY RAINFALL",3
"282","HEAVY SNOW BLIZZARD",3
"283","HIGH TEMPERATURE RECORD",3
"284","HIGH WAVES",3
"285","HIGH WIND HEAVY SNOW",3
"286","HIGH WINDS SNOW",3
"287","HURRICANE-GENERATED SWELLS",3
"288","LAKESHORE FLOOD",3
"289","LIGHT SNOW FLURRIES",3
"290","LIGHTING",3
"291","MAJOR FLOOD",3
"292","NORMAL PRECIPITATION",3
"293","PATCHY DENSE FOG",3
"294","RECORD EXCESSIVE HEAT",3
"295","RECORD HIGH TEMPERATURE",3
"296","RECORD WINTER SNOW",3
"297","RIP CURRENTS HEAVY SURF",3
"298","ROUGH SEAS",3
"299","STREET FLOOD",3
"300","STREET FLOODING",3
"301","THUNDERSTORM WINDS FUNNEL CLOU",3
"302","THUNDERSTORM WINDS.",3
"303","THUNDERSTORMW WINDS",3
"304","THUNDERTORM WINDS",3
"305","TORNADO F2",3
"306","TROPICAL STORM JERRY",3
"307","TSTM HEAVY RAIN",3
"308","TSTM WIND 55",3
"309","URBAN AND SMALL STREAM",3
"310","URBAN AND SMALL STREAM FLOOD",3
"311","URBAN FLOODS",3
"312","URBAN SMALL",3
"313","URBAN STREET FLOODING",3
"314","WHIRLWIND",3
"315","WIND GUSTS",3
"316","WINTER MIX",3
"317","WINTER STORMS",3
"318","ABNORMALLY DRY",2
"319","BEACH FLOOD",2
"320","BELOW NORMAL PRECIPITATION",2
"321","BLIZZARD AND EXTREME WIND CHIL",2
"322","BLIZZARD HEAVY SNOW",2
"323","BLOWING SNOW & EXTREME WIND CH",2
"324","COASTAL SURGE",2
"325","COASTAL TIDAL FLOOD",2
"326","COLD AIR FUNNELS",2
"327","COLD TEMPERATURE",2
