"","EVTYPE","n"
"793","THUNDERSTORM WIND 65 MPH",1
"794","THUNDERSTORM WIND 65MPH",1
"795","THUNDERSTORM WIND 69",1
"796","THUNDERSTORM WIND 98 MPH",1
"797","THUNDERSTORM WIND AWNING",1
"798","THUNDERSTORM WIND G51",1
"799","THUNDERSTORM WIND G55",1
"800","THUNDERSTORM WIND G61",1
"801","THUNDERSTORM WIND HAIL",1
"802","THUNDERSTORM WIND LIGHTNING",1
"803","THUNDERSTORM WIND TREES",1
"804","THUNDERSTORM WIND.",1
"805","THUNDERSTORM WINDS      LE CEN",1
"806","THUNDERSTORM WINDS  HAIL",1
"807","THUNDERSTORM WINDS 13",1
"808","THUNDERSTORM WINDS 2",1
"809","THUNDERSTORM WINDS 50",1
"810","THUNDERSTORM WINDS 52",1
"811","THUNDERSTORM WINDS 53",1
"812","THUNDERSTORM WINDS 60",1
"813","THUNDERSTORM WINDS 61",1
"814","THUNDERSTORM WINDS 62",1
"815","THUNDERSTORM WINDS 63 MPH",1
"816","THUNDERSTORM WINDS FLASH FLOOD",1
"817","THUNDERSTORM WINDS FLOODING",1
"818","THUNDERSTORM WINDS G60",1
"819","THUNDERSTORM WINDS SMALL STREA",1
"820","THUNDERSTORM WINDS URBAN FLOOD",1
"821","THUNDERSTORM WINDS53",1
"822","THUNDERSTORM WINDSHAIL",1
"823","THUNDERSTORM WINS",1
"824","THUNDERSTORMW",1
"825","THUNDERSTORMW 50",1
"826","THUNDERSTORMWINDS",1
"827","THUNDERSTROM WIND",1
"828","THUNDERTSORM WIND",1
"829","THUNERSTORM WINDS",1
"830","TIDAL FLOOD",1
"831","TORNADO DEBRIS",1
"832","TORNADO WATERSPOUT",1
"833","TORNADOES, TSTM WIND, HAIL",1
"834","TORNADOS",1
"835","TORNDAO",1
"836","TORRENTIAL RAIN",1
"837","TORRENTIAL RAINFALL",1
"838","TROPICAL STORM ALBERTO",1
"839","TROPICAL STORM GORDON",1
"840","TSTM",1
"841","TSTM WIND  (G45)",1
"842","TSTM WIND (41)",1
"843","TSTM WIND (G35)",1
"844","TSTM WIND 40",1
"845","TSTM WIND 45",1
"846","TSTM WIND 50",1
"847","TSTM WIND 65)",1
"848","TSTM WIND AND LIGHTNING",1
"849","TSTM WIND DAMAGE",1
"850","TSTM WIND G45",1
"851","TSTM WIND G58",1
"852","TSTM WND",1
"853","TSTMW",1
"854","TUNDERSTORM WIND",1
"855","UNSEASONABLE COLD",1
"856","UNSEASONABLY WARM & WET",1
"857","UNUSUALLY LATE SNOW",1
"858","URBAN FLOOD LANDSLIDE",1
"859","URBAN SMALL FLOODING",1
"860","URBAN SMALL STRM FLDG",1
"861","URBAN SML STREAM FLDG",1
"862","VERY WARM",1
"863","VOG",1
"864","VOLCANIC ASH PLUME",1
"865","VOLCANIC ASHFALL",1
"866","WALL CLOUD FUNNEL CLOUD",1
"867","WARM DRY CONDITIONS",1
"868","WARM WEATHER",1
"869","WATER SPOUT",1
"870","WATERSPOUT ",1
"871","WATERSPOUT FUNNEL CLOUD",1
"872","WAYTERSPOUT",1
"873","WET MICOBURST",1
"874","WET SNOW",1
"875","WET WEATHER",1
"876","WILD FOREST FIRES",1
"877","WIND AND WAVE",1
"878","WIND CHILL HIGH WIND",1
"879","WIND HAIL",1
"880","WIND STORM",1
"881","WINTER STORM HIGH WIND",1
"882","WND",1
